# 전체 복사가 간편하게 됨.
법정동코드 시도명 생성일자
1100000000 서울특별시 19880423
2600000000 부산광역시 19950101
2700000000 대구광역시 19950101
2800000000 인천광역시 19950101
2900000000 광주광역시 19950101
3000000000 대전광역시 19950101
3100000000 울산광역시 19970715
3600000000 세종특별자치시 20120701
4100000000 경기도 19880423
4200000000 강원도 19880423
4300000000 충청북도 19880423
4400000000 충청남도 19880423
4500000000 전라북도 19880423
4600000000 전라남도 19880423
4700000000 경상북도 19880423
4800000000 경상남도 19880423
5000000000 제주특별자치도 20060701

법정동코드;시도시군구;생성일자
1111000000;서울특별시 종로구;19880423
1114000000;서울특별시 중구;19880423
1117000000;서울특별시 용산구;19880423
1120000000;서울특별시 성동구;19880423
1121500000;서울특별시 광진구;19950301
1123000000;서울특별시 동대문구;19880423
1126000000;서울특별시 중랑구;19880423
1129000000;서울특별시 성북구;19880423
1130500000;서울특별시 강북구;19950301
1132000000;서울특별시 도봉구;19880423
1135000000;서울특별시 노원구;19880423
1138000000;서울특별시 은평구;19880423
1141000000;서울특별시 서대문구;19880423
1144000000;서울특별시 마포구;19880423
1147000000;서울특별시 양천구;19880423
1150000000;서울특별시 강서구;19880423
1153000000;서울특별시 구로구;19880423
1154500000;서울특별시 금천구;19950301
1156000000;서울특별시 영등포구;19880423
1159000000;서울특별시 동작구;19880423
1162000000;서울특별시 관악구;19880423
1165000000;서울특별시 서초구;19880423
1168000000;서울특별시 강남구;19880423
1171000000;서울특별시 송파구;19880423
1174000000;서울특별시 강동구;19880423
2611000000;부산광역시 중구;19950101
2614000000;부산광역시 서구;19950101
2617000000;부산광역시 동구;19950101
2620000000;부산광역시 영도구;19950101
2623000000;부산광역시 부산진구;19950101
2626000000;부산광역시 동래구;19950101
2629000000;부산광역시 남구;19950101
2632000000;부산광역시 북구;19950101
2635000000;부산광역시 해운대구;19950101
2638000000;부산광역시 사하구;19950101
2641000000;부산광역시 금정구;19950101
2644000000;부산광역시 강서구;19950101
2647000000;부산광역시 연제구;19950301
2650000000;부산광역시 수영구;19950301
2653000000;부산광역시 사상구;19950301
2671000000;부산광역시 기장군;19950301
2711000000;대구광역시 중구;19950101
2714000000;대구광역시 동구;19950101
2717000000;대구광역시 서구;19950101
2720000000;대구광역시 남구;19950101
2723000000;대구광역시 북구;19950101
2726000000;대구광역시 수성구;19950101
2729000000;대구광역시 달서구;19950101
2771000000;대구광역시 달성군;19950301
2811000000;인천광역시 중구;19950101
2814000000;인천광역시 동구;19950101
2817700000;인천광역시 미추홀구;20180701
2818500000;인천광역시 연수구;19950301
2820000000;인천광역시 남동구;19950101
2823700000;인천광역시 부평구;19950301
2824500000;인천광역시 계양구;19950301
2826000000;인천광역시 서구;19950101
2871000000;인천광역시 강화군;19950301
2872000000;인천광역시 옹진군;19950301
2911000000;광주광역시 동구;19950101
2914000000;광주광역시 서구;19950101
2915500000;광주광역시 남구;19950301
2917000000;광주광역시 북구;19950101
2920000000;광주광역시 광산구;19950101
3011000000;대전광역시 동구;19950101
3014000000;대전광역시 중구;19950101
3017000000;대전광역시 서구;19950101
3020000000;대전광역시 유성구;19950101
3023000000;대전광역시 대덕구;19950101
3111000000;울산광역시 중구;19970715
3114000000;울산광역시 남구;19970715
3117000000;울산광역시 동구;19970715
3120000000;울산광역시 북구;19970715
3171000000;울산광역시 울주군;19970715
4111000000;경기도 수원시;19880423
4113000000;경기도 성남시;19880423
4115000000;경기도 의정부시;19880423
4117000000;경기도 안양시;19880423
4119000000;경기도 부천시;19880423
4121000000;경기도 광명시;19880423
4122000000;경기도 평택시;19950510
4125000000;경기도 동두천시;19880423
4127000000;경기도 안산시;19880423
4128000000;경기도 고양시;19920504
4129000000;경기도 과천시;19880423
4131000000;경기도 구리시;19880423
4136000000;경기도 남양주시;19950101
4137000000;경기도 오산시;19890101
4139000000;경기도 시흥시;19890101
4141000000;경기도 군포시;19890101
4143000000;경기도 의왕시;19890101
4145000000;경기도 하남시;19890101
4146000000;경기도 용인시;19960301
4148000000;경기도 파주시;19960301
4150000000;경기도 이천시;19960301
4155000000;경기도 안성시;19980401
4157000000;경기도 김포시;19980401
4159000000;경기도 화성시;20010321
4161000000;경기도 광주시;20010321
4163000000;경기도 양주시;20031019
4165000000;경기도 포천시;20031019
4167000000;경기도 여주시;20130923
4180000000;경기도 연천군;19880423
4182000000;경기도 가평군;19880423
4183000000;경기도 양평군;19880423
4211000000;강원도 춘천시;19880423
4213000000;강원도 원주시;19880423
4215000000;강원도 강릉시;19880423
4217000000;강원도 동해시;19880423
4219000000;강원도 태백시;19880423
4221000000;강원도 속초시;19880423
4223000000;강원도 삼척시;19880423
4272000000;강원도 홍천군;19880423
4273000000;강원도 횡성군;19880423
4275000000;강원도 영월군;19880423
4276000000;강원도 평창군;19880423
4277000000;강원도 정선군;19880423
4278000000;강원도 철원군;19880423
4279000000;강원도 화천군;19880423
